,RoomType,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price,year,day,month,Predicted
0,Neptune,1,0,Buffet,0,1,0.0,1.0,0.0,2.0,Corporate,0,0.0,67.0,2018.0,Sunday,December,0.0
1,Neptune,2,0,Buffet,1,0,1.0,0.0,0.0,13.0,Offline,0,0.0,85.0,2018.0,Tuesday,March,0.0
2,Neptune,2,0,Buffet,1,0,2.0,2.0,0.0,93.0,Online,0,0.0,82.45,2018.0,Sunday,April,0.0
3,Neptune,1,0,Buffet,0,0,0.0,2.0,0.0,3.0,Offline,0,0.0,95.0,2018.0,Sunday,June,0.0
4,Neptune,2,1,Buffet,2,0,2.0,5.0,0.0,106.0,Online,0,0.0,106.75,2017.0,Saturday,July,0.0
5,Neptune,2,0,Not Selected,1,0,1.0,1.0,0.0,21.0,Online,0,0.0,72.42,2018.0,Wednesday,May,0.0
6,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,164.0,Online,0,0.0,76.46,2018.0,Friday,August,1.0
7,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,192.0,Offline,0,0.0,68.23,2018.0,Wednesday,October,0.0
8,Venus,2,0,Buffet,0,0,0.0,3.0,0.0,134.0,Online,0,0.0,109.8,2018.0,Saturday,August,1.0
9,Venus,2,0,Buffet,0,0,0.0,4.0,0.0,117.0,Online,0,0.0,99.45,2018.0,Friday,April,0.0
10,Neptune,1,0,Buffet,1,0,0.0,1.0,0.0,57.0,Online,0,0.0,54.98,2018.0,Saturday,March,0.0
11,Neptune,2,0,Buffet,1,0,0.0,1.0,0.0,10.0,Online,0,0.0,121.0,2018.0,Saturday,June,0.0
12,Neptune,2,0,Luxury Buffet,0,0,0.0,2.0,0.0,74.0,Offline,0,0.0,109.0,2017.0,Monday,September,0.0
13,Neptune,2,0,Not Selected,1,0,0.0,1.0,0.0,1.0,Online,0,0.0,79.0,2018.0,Monday,January,0.0
14,Neptune,2,0,Not Selected,2,0,0.0,3.0,0.0,40.0,Online,0,0.0,94.67,2018.0,Thursday,December,0.0
15,Neptune,1,0,Buffet,0,0,1.0,0.0,0.0,34.0,Offline,0,0.0,69.3,2017.0,Wednesday,October,0.0
16,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,267.0,Offline,0,0.0,95.0,2018.0,Sunday,September,1.0
17,Neptune,2,1,Buffet,1,0,0.0,1.0,0.0,195.0,Online,0,0.0,121.5,2018.0,Monday,August,1.0
18,Neptune,2,0,Buffet,0,0,2.0,0.0,0.0,61.0,Offline,0,0.0,91.0,2017.0,Wednesday,October,0.0
19,Neptune,2,0,Buffet,0,0,2.0,4.0,0.0,75.0,Offline,0,0.0,80.75,2018.0,Friday,June,0.0
20,Neptune,1,0,Buffet,0,0,1.0,0.0,0.0,110.0,Offline,0,0.0,120.0,2018.0,Tuesday,October,1.0
21,Neptune,2,0,Buffet,2,0,1.0,2.0,0.0,29.0,Online,0,0.0,96.3,2017.0,Monday,November,0.0
22,Neptune,2,0,Not Selected,0,0,1.0,4.0,0.0,97.0,Online,0,0.0,78.95,2018.0,Wednesday,May,1.0
23,Neptune,2,0,Buffet,1,0,1.0,2.0,0.0,230.0,Online,0,0.0,96.3,2018.0,Sunday,September,0.0
24,Venus,2,0,Buffet,0,0,1.0,2.0,0.0,75.0,Online,0,0.0,129.0,2018.0,Sunday,July,1.0
25,Neptune,2,0,Buffet,2,0,0.0,3.0,0.0,32.0,Online,0,0.0,94.5,2017.0,Friday,October,0.0
26,Neptune,1,0,Buffet,0,0,1.0,0.0,0.0,7.0,Corporate,0,0.0,65.0,2017.0,Thursday,October,0.0
27,Neptune,2,0,Buffet,1,0,2.0,5.0,0.0,196.0,Online,0,0.0,66.53,2018.0,Thursday,July,0.0
28,Neptune,2,0,Luxury Buffet,0,0,1.0,2.0,0.0,418.0,Online,0,0.0,107.0,2018.0,Wednesday,September,1.0
29,Neptune,2,0,Buffet,1,0,1.0,5.0,0.0,70.0,Offline,0,0.0,85.0,2018.0,Wednesday,July,0.0
30,Neptune,2,0,Buffet,1,0,0.0,3.0,0.0,130.0,Online,0,0.0,105.3,2018.0,Saturday,May,0.0
31,Neptune,2,1,Buffet,1,0,0.0,2.0,0.0,141.0,Online,0,0.0,147.6,2018.0,Sunday,September,0.0
32,Neptune,2,0,Not Selected,0,0,0.0,2.0,0.0,0.0,Online,0,0.0,81.0,2017.0,Sunday,August,0.0
33,Neptune,2,0,Not Selected,1,0,0.0,4.0,0.0,213.0,Online,0,0.0,79.48,2018.0,Thursday,December,1.0
34,Neptune,2,0,Buffet,0,0,1.0,1.0,0.0,275.0,Offline,0,0.0,62.8,2018.0,Monday,June,1.0
35,Neptune,1,0,Buffet,0,1,0.0,2.0,0.0,11.0,Online,0,0.0,97.0,2017.0,Friday,August,0.0
